Task ID,Category,Component,Source File (C/ASM),Source Directory,Language,Target Rust Module/File,Description,Functions/Symbols to Convert,Priority,Complexity,Status,Assignee,Dependencies,Rust Crate Dependencies,Notes,Date Started,Date Completed
T-011,Core Crypto,Rounding,rounding.c,ref/,C,src/rounding.rs,Convert rounding functions for decompose/power2round operations,"power2round, decompose, make_hint, use_hint",P0 - Critical,Medium,Completed,,T-005,,Ensure identical rounding semantics for interoperability,,2026-06-24
T-012,Core Crypto,Rounding,rounding.h,ref/,C Header,src/rounding.rs,Convert rounding function declarations,"power2round, decompose, make_hint, use_hint declarations",P0 - Critical,Low,Completed,,T-011,,Header merged into .rs module,,2026-06-24
T-013,Core Crypto,Polynomial,poly.c,ref/,C,src/poly.rs,Convert polynomial operations (largest core module ~28KB),"poly_reduce, poly_caddq, poly_freeze, poly_add, poly_sub, poly_shiftl, poly_ntt, poly_invntt_tomont, poly_pointwise_montgomery, poly_power2round, poly_decompose, poly_make_hint, poly_use_hint, poly_chknorm, poly_uniform, poly_uniform_eta, poly_uniform_gamma1, poly_challenge, polyeta_pack, polyeta_unpack, polyz_pack, polyz_unpack, polyw1_pack, polyt1_pack, polyt1_unpack, polyt0_pack, polyt0_unpack",P0 - Critical,High,Completed,,"T-007, T-009, T-011, T-017",,Largest source file; consider splitting into poly_ops.rs and poly_pack.rs,,2026-06-24
T-014,Core Crypto,Polynomial,poly.h,ref/,C Header,src/poly.rs,Convert poly struct definition and function declarations,"poly struct (coeffs[N]), all poly_* function declarations",P0 - Critical,Low,Completed,,T-013,,Rust struct with [i32; N] array,,2026-06-24
T-015,Core Crypto,Polynomial Vector,polyvec.c,ref/,C,src/polyvec.rs,Convert polynomial vector operations for K-dimensional and L-dimensional vectors,"polyvecl_uniform_eta, polyvecl_uniform_gamma1, polyvecl_reduce, polyvecl_add, polyvecl_ntt, polyvecl_invntt_tomont, polyvecl_pointwise_poly_montgomery, polyvecl_chknorm, polyveck_reduce, polyveck_caddq, polyveck_add, polyveck_sub, polyveck_shiftl, polyveck_ntt, polyveck_invntt_tomont, polyveck_pointwise_poly_montgomery, polyveck_chknorm, polyveck_power2round, polyveck_decompose, polyveck_make_hint, polyveck_use_hint, polyveck_pack_w1",P0 - Critical,High,Completed,,"T-013, T-014",,Use generic structs or const generics for K/L dimensions,,2026-06-24
T-016,Core Crypto,Polynomial Vector,polyvec.h,ref/,C Header,src/polyvec.rs,Convert polyvec struct definitions and function declarations,"polyvecl struct, polyveck struct, expand_mat, all polyvec* declarations",P0 - Critical,Low,Completed,,T-015,,Rust structs with [poly; K] and [poly; L],,2026-06-24
T-017,Core Crypto,Symmetric/Hash,fips202.c,ref/,C,src/fips202.rs,Convert FIPS 202 SHA-3/SHAKE implementation (Keccak sponge),"KeccakF1600_StatePermute, keccak_init, keccak_absorb, keccak_finalize, keccak_squeeze, keccak_absorb_once, keccak_squeezeblocks, shake128_init, shake128_absorb, shake128_finalize, shake128_squeeze, shake128_absorb_once, shake128_squeezeblocks, shake256_init, shake256_absorb, shake256_finalize, shake256_squeeze, shake256_absorb_once, shake256_squeezeblocks, shake128, shake256, sha3_256, sha3_512",P1 - High,High,Completed,,T-005,tiny-keccak (optional),Consider using existing Rust crate (tiny-keccak/sha3) instead of manual port,,2026-06-24
T-018,Core Crypto,Symmetric/Hash,fips202.h,ref/,C Header,src/fips202.rs,Convert FIPS 202 type/function declarations,"keccak_state struct, SHAKE128/256 rate constants, all function declarations",P1 - High,Low,Completed,,T-017,,Header merged into .rs module,,2026-06-24
T-019,Core Crypto,Symmetric/Hash,symmetric-shake.c,ref/,C,src/symmetric.rs,Convert SHAKE-based symmetric primitive wrappers,"dilithium_shake128_stream_init, dilithium_shake256_stream_init",P1 - High,Low,Completed,,T-017,,Thin wrappers around SHAKE functions,,2026-06-24
T-020,Core Crypto,Symmetric/Hash,symmetric.h,ref/,C Header,src/symmetric.rs,Convert symmetric crypto abstraction layer declarations,"stream128_state, stream256_state typedefs, stream macros",P1 - High,Low,Completed,,T-019,,Use Rust type aliases or newtype wrappers,,2026-06-24
T-021,Core Crypto,Packing,packing.c,ref/,C,src/packing.rs,Convert key and signature serialization/deserialization,"pack_pk, unpack_pk, pack_sk, unpack_sk, pack_sig, unpack_sig",P0 - Critical,Medium,Completed,,"T-013, T-015",,Byte-level packing; ensure bit manipulation is identical,,2026-06-26
T-022,Core Crypto,Packing,packing.h,ref/,C Header,src/packing.rs,Convert packing function declarations,"pack_pk, unpack_pk, pack_sk, unpack_sk, pack_sig, unpack_sig declarations",P0 - Critical,Low,Completed,,T-021,,Header merged into .rs module,,2026-06-26
T-023,Core Crypto,Signing,sign.c,ref/,C,src/sign.rs,Convert core signing algorithm (keygen/sign/verify top-level logic),"crypto_sign_keypair, crypto_sign_signature_internal, crypto_sign_signature, crypto_sign, crypto_sign_verify_internal, crypto_sign_verify, crypto_sign_open",P0 - Critical,High,Completed,,"T-006, T-015, T-021",,Core algorithm; most complex logic with rejection sampling loop,,2026-06-26
T-024,Core Crypto,Signing,sign.h,ref/,C Header,src/sign.rs,Convert sign function declarations (namespace macros),"All crypto_sign_* declarations, DILITHIUM_NAMESPACE macros",P0 - Critical,Low,Completed,,T-023,,Namespace macros not needed in Rust; use module system,,2026-06-26
T-025,Core Crypto,RNG,randombytes.c,ref/,C,src/randombytes.rs,Convert random byte generation (system RNG wrapper),randombytes function,P0 - Critical,Low,Completed,,T-001,"rand, getrandom",Replace with Rust's getrandom or rand crate,,2026-06-26
T-026,Core Crypto,RNG,randombytes.h,ref/,C Header,src/randombytes.rs,Convert randombytes function declaration,randombytes declaration,P0 - Critical,Low,Completed,,T-025,,Header merged into .rs module,,2026-06-26
T-027,AVX2 Optimized,Constants,consts.c,avx2/,C,src/avx2/consts.rs,Convert AVX2-aligned constant tables for vectorized arithmetic,"qdata (aligned constant arrays for AVX2 NTT, reduce, etc.)",P2 - Medium,Medium,Not Started,,T-005,,Use Rust aligned repr and SIMD types,,
T-028,AVX2 Optimized,Constants,consts.h,avx2/,C Header,src/avx2/consts.rs,Convert AVX2 constant declarations,"qdata extern declaration, ALIGNED_* macros",P2 - Medium,Low,Not Started,,T-027,,Header merged into .rs module,,
T-029,AVX2 Optimized,Alignment,align.h,avx2/,C Header,src/avx2/align.rs,Convert memory alignment macros/types for AVX2 data,"ALIGNED_INT8, ALIGNED_INT32, ALIGNED_UINT8 macros/unions",P2 - Medium,Low,Not Started,,T-001,,Use #[repr(align(32))] in Rust,,
T-030,AVX2 Optimized,NTT ASM,ntt.S,avx2/,x86-64 ASM,src/avx2/ntt.rs (or ntt.S + build.rs),Convert AVX2 forward NTT assembly to Rust SIMD intrinsics or link via build.rs,ntt_avx (AVX2 assembly NTT butterfly operations),P2 - Medium,Very High,Not Started,,"T-027, T-031",,Option A: rewrite with std::arch::x86_64 intrinsics; Option B: keep .S and link via cc crate,,
T-031,AVX2 Optimized,Inverse NTT ASM,invntt.S,avx2/,x86-64 ASM,src/avx2/invntt.rs (or invntt.S + build.rs),Convert AVX2 inverse NTT assembly to Rust SIMD intrinsics or link via build.rs,invntt_avx (AVX2 assembly inverse NTT),P2 - Medium,Very High,Not Started,,"T-027, T-030",,Same strategy decision as ntt.S,,
T-032,AVX2 Optimized,Pointwise ASM,pointwise.S,avx2/,x86-64 ASM,src/avx2/pointwise.rs (or pointwise.S + build.rs),Convert AVX2 pointwise multiplication assembly,"pointwise_avx, pointwise_acc_avx",P2 - Medium,Very High,Not Started,,"T-027, T-030",,Coefficient-wise Montgomery multiplication in AVX2,,
T-033,AVX2 Optimized,Shuffle ASM,shuffle.S,avx2/,x86-64 ASM,src/avx2/shuffle.rs (or shuffle.S + build.rs),Convert AVX2 shuffle/transpose operations assembly,"nttpack_avx, nttunpack_avx shuffle routines",P2 - Medium,High,Not Started,,T-027,,Data rearrangement for NTT butterfly access patterns,,
T-034,AVX2 Optimized,Shuffle Include,shuffle.inc,avx2/,ASM Include,src/avx2/shuffle.rs,Convert shuffle macros used by assembly files,"shuffle8, shuffle4, shuffle2, shuffle1 macros",P2 - Medium,Medium,Not Started,,T-033,,Assembly macros become Rust inline functions or macros,,
T-035,AVX2 Optimized,Keccak ASM,f1600x4.S,avx2/,x86-64 ASM,src/avx2/f1600x4.rs (or f1600x4.S + build.rs),Convert 4-way parallel Keccak-f[1600] AVX2 assembly (~26KB),f1600x4 (4-way parallel Keccak permutation),P2 - Medium,Very High,Not Started,,T-017,,Largest assembly file; consider linking via cc crate,,
T-036,AVX2 Optimized,FIPS202x4,fips202x4.c,avx2/,C,src/avx2/fips202x4.rs,Convert 4-way parallel SHAKE/SHA3 implementation,"keccakx4_absorb_once, keccakx4_squeezeblocks, shake128x4*, shake256x4*",P2 - Medium,High,Not Started,,"T-035, T-017",,Parallel hashing using AVX2,,
T-037,AVX2 Optimized,FIPS202x4,fips202x4.h,avx2/,C Header,src/avx2/fips202x4.rs,Convert 4-way FIPS202 declarations,"keccakx4_state struct, all *x4 function declarations",P2 - Medium,Low,Not Started,,T-036,,Header merged into .rs module,,
T-038,AVX2 Optimized,Rejection Sampling,rejsample.c,avx2/,C,src/avx2/rejsample.rs,Convert AVX2-optimized rejection sampling with lookup tables,rej_uniform_avx (with idx/sign lookup tables for SIMD rejection),P2 - Medium,High,Not Started,,"T-027, T-013",,Large lookup tables for vectorized rejection sampling,,
T-039,AVX2 Optimized,Rejection Sampling,rejsample.h,avx2/,C Header,src/avx2/rejsample.rs,Convert rejection sampling declarations,rej_uniform_avx declaration,P2 - Medium,Low,Not Started,,T-038,,Header merged into .rs module,,
T-040,AVX2 Optimized,NTT Header,ntt.h,avx2/,C Header,src/avx2/ntt.rs,Convert AVX2 NTT function declarations,"ntt_avx, invntt_avx, nttpack_avx, pointwise_avx, pointwise_acc_avx declarations",P2 - Medium,Low,Not Started,,"T-030, T-031, T-032",,Header merged into .rs module,,
T-041,AVX2 Optimized,Polynomial,poly.c,avx2/,C,src/avx2/poly.rs,Convert AVX2-optimized polynomial operations (~37KB),All poly_* functions (AVX2-optimized variants using SIMD intrinsics and parallel hashing),P2 - Medium,Very High,Not Started,,"T-030, T-036, T-038",,Largest C file; heavily uses SIMD intrinsics,,
T-042,AVX2 Optimized,Polynomial,poly.h,avx2/,C Header,src/avx2/poly.rs,Convert AVX2 polynomial struct and function declarations,"poly struct (aligned), all poly_* AVX2 declarations",P2 - Medium,Low,Not Started,,T-041,,Struct uses __attribute__((aligned(32))),,
T-043,AVX2 Optimized,Polynomial Vector,polyvec.c,avx2/,C,src/avx2/polyvec.rs,Convert AVX2-optimized polynomial vector operations (~21KB),"All polyvecl_* and polyveck_* AVX2 variants, expand_mat_avx",P2 - Medium,High,Not Started,,"T-041, T-042",,Uses 4-way parallel hashing for matrix expansion,,
T-044,AVX2 Optimized,Polynomial Vector,polyvec.h,avx2/,C Header,src/avx2/polyvec.rs,Convert AVX2 polyvec struct and function declarations,"polyvecl/polyveck structs (aligned), all polyvec* declarations",P2 - Medium,Low,Not Started,,T-043,,Structs use __attribute__((aligned(32))),,
T-045,AVX2 Optimized,Rounding,rounding.c,avx2/,C,src/avx2/rounding.rs,Convert AVX2-optimized rounding functions (~6.6KB),"power2round_avx, decompose_avx, make_hint_avx, use_hint_avx",P2 - Medium,High,Not Started,,"T-027, T-011",,SIMD-vectorized rounding operations,,
T-046,AVX2 Optimized,Rounding,rounding.h,avx2/,C Header,src/avx2/rounding.rs,Convert AVX2 rounding function declarations,All *_avx rounding declarations,P2 - Medium,Low,Not Started,,T-045,,Header merged into .rs module,,
T-047,AVX2 Optimized,Signing,sign.c,avx2/,C,src/avx2/sign.rs,Convert AVX2-optimized signing implementation (~17KB),"crypto_sign_keypair, crypto_sign_signature_internal, crypto_sign_signature, crypto_sign, crypto_sign_verify_internal, crypto_sign_verify, crypto_sign_open (AVX2 variants)",P2 - Medium,Very High,Not Started,,"T-041, T-043, T-045",,Optimized signing with parallel hashing and SIMD arithmetic,,
T-048,AVX2 Optimized,Symmetric,symmetric-shake.c,avx2/,C,src/avx2/symmetric.rs,Convert AVX2 SHAKE symmetric wrappers (redirect file),Redirects to ref/ symmetric-shake.c,P2 - Medium,Low,Not Started,,T-019,,May just re-export ref implementation,,
T-049,AVX2 Optimized,Symmetric,symmetric.h,avx2/,C Header,src/avx2/symmetric.rs,Convert AVX2 symmetric abstraction layer,"stream128/256 state types, macro definitions (AVX2 variants)",P2 - Medium,Low,Not Started,,T-048,,May include x4 streaming types,,
T-050,AVX2 Optimized,Packing,packing.c,avx2/,C,src/avx2/packing.rs,Convert AVX2 packing (redirect to ref),Redirects to ref/ packing.c,P2 - Medium,Low,Not Started,,T-021,,Simple redirect; re-export ref implementation,,
T-051,AVX2 Optimized,Packing,packing.h,avx2/,C Header,src/avx2/packing.rs,Convert AVX2 packing header (redirect to ref),Redirects to ref/ packing.h,P2 - Medium,Low,Not Started,,T-022,,Simple redirect; re-export ref implementation,,
T-052,AVX2 Optimized,Params,params.h,avx2/,C Header,src/avx2/params.rs,Convert AVX2 params header (redirect to ref),Redirects to ref/ params.h,P2 - Medium,Low,Not Started,,T-005,,Simple redirect; re-use ref params,,
T-053,AVX2 Optimized,API,api.h,avx2/,C Header,src/avx2/api.rs,Convert AVX2 API definitions,Same API as ref but linking to AVX2 implementations,P2 - Medium,Low,Not Started,,T-006,,Re-export API types,,
T-054,AVX2 Optimized,Sign Header,sign.h,avx2/,C Header,src/avx2/sign.rs,Convert AVX2 sign header (redirect to ref),Redirects to ref/ sign.h,P2 - Medium,Low,Not Started,,T-047,,Simple redirect,,
T-055,AVX2 Optimized,FIPS202,fips202.c,avx2/,C,src/avx2/fips202.rs,Convert AVX2 FIPS202 (redirect to ref),Redirects to ref/ fips202.c,P2 - Medium,Low,Not Started,,T-017,,Simple redirect; re-use ref implementation,,
T-056,AVX2 Optimized,FIPS202,fips202.h,avx2/,C Header,src/avx2/fips202.rs,Convert AVX2 FIPS202 header,Same as ref fips202.h,P2 - Medium,Low,Not Started,,T-018,,Re-export ref FIPS202,,
T-057,AVX2 Optimized,RNG,randombytes.c,avx2/,C,src/avx2/randombytes.rs,Convert AVX2 randombytes (redirect to ref),Redirects to ref/ randombytes.c,P2 - Medium,Low,Not Started,,T-025,,Simple redirect; re-use ref implementation,,
T-058,AVX2 Optimized,RNG,randombytes.h,avx2/,C Header,src/avx2/randombytes.rs,Convert AVX2 randombytes header (redirect to ref),Redirects to ref/ randombytes.h,P2 - Medium,Low,Not Started,,T-026,,Simple redirect,,
T-059,AVX2 Optimized,Config,config.h,avx2/,C Header,src/avx2/config.rs,Convert AVX2 config header,DILITHIUM_MODE and DILITHIUM_RANDOMIZED_SIGNING for AVX2,P2 - Medium,Low,Not Started,,T-004,,Same config as ref; reuse,,
T-060,Tests,Ref Tests,test/test_dilithium.c,ref/test/,C,tests/test_dilithium.rs,Convert main correctness test (keygen/sign/verify 10000 iterations),"main test loop: keypair, sign, verify, forgery detection",P1 - High,Medium,Completed,,T-023,,Use #[test] and Rust test framework,,2026-06-26
T-061,Tests,Ref Tests,test/test_vectors.c,ref/test/,C,tests/test_vectors.rs,Convert deterministic test vector generation for cross-impl compatibility,"Test vector generation for A matrix, s vector, y vector, w1/w0, t1/t0, challenge c",P1 - High,Medium,Completed,,T-023,,Ensure output matches C reference for interop validation,,2026-06-26
T-062,Tests,Ref Tests,test/test_mul.c,ref/test/,C,tests/test_mul.rs,Convert NTT multiplication correctness test,NTT multiply test: naive vs NTT-based polynomial multiplication,P1 - High,Medium,Completed,,T-009,,Validates NTT correctness,,2026-06-26
T-063,Tests,Ref Tests,test/test_speed.c,ref/test/,C,benches/bench_dilithium.rs,Convert performance benchmarking program,"Benchmark: keypair, sign, verify, NTT, invNTT, poly_uniform, poly_uniform_eta, etc.",P3 - Low,Medium,Completed,,T-023,criterion,Use Criterion.rs benchmarking framework,,2026-06-26
T-064,Tests,Ref Tests,test/speed_print.c,ref/test/,C,benches/bench_dilithium.rs,Convert speed printing utilities (merge into benchmark),print_results (median/average cycle counts),P3 - Low,Low,Completed,,T-063,,Criterion handles result reporting,,2026-06-26
T-065,Tests,Ref Tests,test/speed_print.h,ref/test/,C Header,benches/bench_dilithium.rs,Convert speed print declarations,print_results declaration,P3 - Low,Low,Completed,,T-064,,Merged into benchmark module,,2026-06-26
T-066,Tests,Ref Tests,test/cpucycles.c,ref/test/,C,benches/bench_dilithium.rs,Convert CPU cycle counter utility,cpucycles function (rdtsc wrapper),P3 - Low,Low,Completed,,T-063,,Criterion handles timing; may not need direct port,,2026-06-26
T-067,Tests,Ref Tests,test/cpucycles.h,ref/test/,C Header,benches/bench_dilithium.rs,Convert cpucycles declaration,cpucycles declaration,P3 - Low,Low,Completed,,T-066,,Merged into benchmark module,,2026-06-26
T-068,Tests,AVX2 Tests,test/test_vectors.c,avx2/test/,C,tests/test_vectors_avx2.rs,Convert AVX2 test vector generation (unique file),AVX2-specific test vector generation,P2 - Medium,Medium,Not Started,,T-047,,Validate AVX2 output matches ref output,,
T-069,Tests,AVX2 Tests,test/test_dilithium.c,avx2/test/,C,tests/test_dilithium_avx2.rs,Convert AVX2 correctness test (redirect),Redirects to ref test_dilithium.c,P2 - Medium,Low,Not Started,,T-060,,May re-use ref tests with AVX2 feature gate,,
T-070,Tests,AVX2 Tests,test/test_mul.c,avx2/test/,C,tests/test_mul_avx2.rs,Convert AVX2 multiplication test (redirect),Redirects to ref test_mul.c,P2 - Medium,Low,Not Started,,T-062,,May re-use ref tests,,
T-071,Tests,AVX2 Tests,test/test_speed.c,avx2/test/,C,benches/bench_dilithium_avx2.rs,Convert AVX2 speed test (redirect),Redirects to ref test_speed.c,P3 - Low,Low,Not Started,,T-063,,May re-use ref benchmarks,,
T-072,Tests,AVX2 Tests,test/cpucycles.c,avx2/test/,C,benches/bench_dilithium_avx2.rs,Convert AVX2 cpucycles (redirect),Redirects to ref cpucycles.c,P3 - Low,Low,Not Started,,T-066,,Redirect,,
T-073,Tests,AVX2 Tests,test/speed_print.c,avx2/test/,C,benches/bench_dilithium_avx2.rs,Convert AVX2 speed_print (redirect),Redirects to ref speed_print.c,P3 - Low,Low,Not Started,,T-064,,Redirect,,
T-074,Tests,AVX2 Tests,test/cpucycles.h,avx2/test/,C Header,benches/bench_dilithium_avx2.rs,Convert AVX2 cpucycles header (redirect),Redirects to ref cpucycles.h,P3 - Low,Low,Not Started,,T-067,,Redirect,,
T-075,Tests,AVX2 Tests,test/speed_print.h,avx2/test/,C Header,benches/bench_dilithium_avx2.rs,Convert AVX2 speed_print header (redirect),Redirects to ref speed_print.h,P3 - Low,Low,Not Started,,T-065,,Redirect,,
T-076,Tests,NIST KAT,nistkat/PQCgenKAT_sign.c,ref/nistkat/,C,tests/nistkat.rs,Convert NIST Known Answer Test generator,KAT generation for NIST submission validation (uses AES-CTR DRBG),P1 - High,Medium,Completed,,T-023,aes (for DRBG),Requires AES-CTR DRBG implementation for deterministic RNG,,2026-06-26
T-077,Tests,NIST KAT,nistkat/rng.c,ref/nistkat/,C,src/nistkat_rng.rs,Convert NIST DRBG random number generator (AES-CTR based),"AES256_CTR_DRBG_Update, randombytes_init, randombytes (NIST DRBG variant)",P1 - High,Medium,Completed,,T-001,aes,AES-256-CTR DRBG for deterministic test vector generation,,2026-06-26
T-078,Tests,NIST KAT,nistkat/rng.h,ref/nistkat/,C Header,src/nistkat_rng.rs,Convert NIST RNG declarations,"AES256_CTR_DRBG_struct, randombytes_init, randombytes declarations",P1 - High,Low,Completed,,T-077,,Header merged into .rs module,,2026-06-26
T-079,Documentation,Docs,README.md,/,Markdown,README.md,Update README for Rust project (build instructions; cargo commands; API docs),"Build instructions, usage examples, API documentation",P1 - High,Low,Completed,,T-060,,Update after core conversion is complete,,2026-06-26
T-080,Documentation,Docs,AUTHORS.md,/,Markdown,AUTHORS.md,Update AUTHORS to credit Rust port contributors,Author credits,P3 - Low,Low,Completed,,None,,Add Rust port attribution,,2026-06-26
T-081,Documentation,Docs,LICENSE,/,Text,LICENSE,Preserve license file (public domain / CC0),License text,P0 - Critical,Low,Completed,,None,,Must preserve original license,,2026-06-26
T-082,Documentation,Meta,Common_META.yml,/,YAML,Cargo.toml metadata,Migrate common metadata to Cargo.toml [package] section,"name, description, version, authors, license metadata",P3 - Low,Low,Completed,,T-001,,YAML metadata becomes Cargo.toml [package],,2026-06-26
T-083,Documentation,Meta,Dilithium2_META.yml,/,YAML,Cargo.toml metadata,Migrate Dilithium2-specific metadata,Dilithium2 parameter-set metadata and file listings,P3 - Low,Low,Completed,,T-082,,Feature-specific documentation,,2026-06-26
T-084,Documentation,Meta,Dilithium3_META.yml,/,YAML,Cargo.toml metadata,Migrate Dilithium3-specific metadata,Dilithium3 parameter-set metadata and file listings,P3 - Low,Low,Completed,,T-082,,Feature-specific documentation,,2026-06-26
T-085,Documentation,Meta,Dilithium5_META.yml,/,YAML,Cargo.toml metadata,Migrate Dilithium5-specific metadata,Dilithium5 parameter-set metadata and file listings,P3 - Low,Low,Completed,,T-082,,Feature-specific documentation,,2026-06-26
T-086,CI/CD,CI,runtests.sh,/,Shell,.github/workflows/ci.yml (or Cargo test),Convert test runner script to Rust CI (GitHub Actions or equivalent),Test execution for all parameter sets,P1 - High,Medium,Completed,,T-060,,Replace shell script with cargo test + CI config,,2026-06-26
T-087,CI/CD,CI,runlcov.sh,/,Shell,.github/workflows/ci.yml,Convert code coverage script to Rust tooling (cargo-tarpaulin or llvm-cov),Coverage generation,P3 - Low,Medium,Completed,,T-086,cargo-tarpaulin,Replace lcov with Rust coverage tools,,2026-06-26
T-088,CI/CD,CI,.travis.yml,/,YAML,.github/workflows/ci.yml,Migrate Travis CI config to GitHub Actions (or Rust-appropriate CI),CI pipeline definition,P1 - High,Medium,Completed,,T-086,,Travis CI -> GitHub Actions migration,,2026-06-26
T-089,Project Setup,Misc,SHA256SUMS,/,Text,N/A,Regenerate SHA256 checksums for Rust source files (if needed),File integrity checksums,P3 - Low,Low,Completed,,T-079,,N/A - existing tvecs SHA256SUMS still validates the port (T-061 byte-match); Rust dep integrity via Cargo.lock,,2026-06-26
T-090,Project Setup,Misc,.gitignore,/,Text,.gitignore,Update .gitignore for Rust artifacts (target/ etc.),"target/, Cargo.lock (if lib), *.pdb, etc.",P0 - Critical,Low,Completed,,T-001,,Standard Rust .gitignore entries,,2026-06-26
T-091,Project Setup,Misc,.gitignore,ref/,Text,.gitignore,Remove ref/.gitignore (handled by root .gitignore),Old C build artifact ignores,P3 - Low,Low,Completed,,T-090,,Consolidate into root .gitignore,,2026-06-26
T-092,Project Setup,Misc,.gitignore,avx2/,Text,.gitignore,Remove avx2/.gitignore (handled by root .gitignore),Old C build artifact ignores,P3 - Low,Low,Completed,,T-090,,Consolidate into root .gitignore,,2026-06-26
T-093,Project Setup,Misc,precomp.gp,ref/,PARI/GP Script,N/A or docs/precomp.gp,Preserve or document PARI/GP precomputation script for NTT constants,"Precomputation of zetas, Montgomery constants",P3 - Low,Low,Completed,,None,,Mathematical reference; not code to convert,,2026-06-26
T-094,Validation,Integration Test,N/A,N/A,N/A,tests/interop.rs,Create cross-implementation interop test: sign in Rust -> verify in C and vice versa,Interoperability validation,P1 - High,High,Completed,,"T-023, T-060",,Critical for validating correctness of the port,,2026-06-26
T-095,Validation,Integration Test,N/A,N/A,N/A,tests/kat_validation.rs,Validate Rust output matches NIST Known Answer Test vectors exactly,KAT vector comparison,P1 - High,Medium,Completed,,"T-076, T-077",,Self-validated 100 sign/open per set on all 3 modes; upstream pq-crystals publishes no KAT rsp golden (only tvecs) so external golden check is via test_vectors/T-061 which matches byte-for-byte over 10000 iters incl pk/sk/sig digests,,2026-06-26
T-096,Quality,Code Quality,N/A,N/A,N/A,clippy.toml + rustfmt.toml,Configure Rust linting (Clippy) and formatting (rustfmt) for the project,"Lint rules, format config",P1 - High,Low,Completed,,T-001,,Enforce consistent Rust style,,2026-06-26
T-097,Quality,Safety,N/A,N/A,N/A,src/*.rs (all modules),Audit for unsafe blocks; document all uses of unsafe with safety invariants,unsafe audit,P1 - High,High,Completed,,"T-023, T-047",,Minimize unsafe; document all unavoidable uses,,2026-06-26
